"동별","가구원수별","항목","단위","2020 년","2021 년","2022 년","2023 년","2024 년",
"필동","2인가구","가구원수별 가구수 (동별) (2015년 이후)","가구","485","","","","",
"필동","3인가구","가구원수별 가구수 (동별) (2015년 이후)","가구","221","","","","",
"필동","4인가구","가구원수별 가구수 (동별) (2015년 이후)","가구","127","","","","",
"필동","5인가구","가구원수별 가구수 (동별) (2015년 이후)","가구","39","","","","",
"필동","6인가구","가구원수별 가구수 (동별) (2015년 이후)","가구","11","","","","",
"필동","7인이상가구","가구원수별 가구수 (동별) (2015년 이후)","가구","X","","","","",
"장충동","일반가구","가구원수별 가구수 (동별) (2015년 이후)","가구","2628","","","","",
"장충동","1인가구","가구원수별 가구수 (동별) (2015년 이후)","가구","1509","","","","",
"장충동","2인가구","가구원수별 가구수 (동별) (2015년 이후)","가구","565","","","","",
"장충동","3인가구","가구원수별 가구수 (동별) (2015년 이후)","가구","274","","","","",
"장충동","4인가구","가구원수별 가구수 (동별) (2015년 이후)","가구","206","","","","",
"장충동","5인가구","가구원수별 가구수 (동별) (2015년 이후)","가구","61","","","","",
"장충동","6인가구","가구원수별 가구수 (동별) (2015년 이후)","가구","13","","","","",
"장충동","7인이상가구","가구원수별 가구수 (동별) (2015년 이후)","가구","X","","","","",
"광희동","일반가구","가구원수별 가구수 (동별) (2015년 이후)","가구","2559","","","","",
"광희동","1인가구","가구원수별 가구수 (동별) (2015년 이후)","가구","1391","","","","",
"광희동","2인가구","가구원수별 가구수 (동별) (2015년 이후)","가구","676","","","","",
"광희동","3인가구","가구원수별 가구수 (동별) (2015년 이후)","가구","280","","","","",
"광희동","4인가구","가구원수별 가구수 (동별) (2015년 이후)","가구","163","","","","",
"광희동","5인가구","가구원수별 가구수 (동별) (2015년 이후)","가구","34","","","","",
"광희동","6인가구","가구원수별 가구수 (동별) (2015년 이후)","가구","12","","","","",
"광희동","7인이상가구","가구원수별 가구수 (동별) (2015년 이후)","가구","X","","","","",
"을지로동","일반가구","가구원수별 가구수 (동별) (2015년 이후)","가구","1114","","","","",
"을지로동","1인가구","가구원수별 가구수 (동별) (2015년 이후)","가구","781","","","","",
"을지로동","2인가구","가구원수별 가구수 (동별) (2015년 이후)","가구","230","","","","",
"을지로동","3인가구","가구원수별 가구수 (동별) (2015년 이후)","가구","57","","","","",
"을지로동","4인가구","가구원수별 가구수 (동별) (2015년 이후)","가구","36","","","","",
"을지로동","5인가구","가구원수별 가구수 (동별) (2015년 이후)","가구","7","","","","",
"을지로동","6인가구","가구원수별 가구수 (동별) (2015년 이후)","가구","X","","","","",
"을지로동","7인이상가구","가구원수별 가구수 (동별) (2015년 이후)","가구","X","","","","",
"신당동","일반가구","가구원수별 가구수 (동별) (2015년 이후)","가구","4028","","","","",
"신당동","1인가구","가구원수별 가구수 (동별) (2015년 이후)","가구","2223","","","","",
"신당동","2인가구","가구원수별 가구수 (동별) (2015년 이후)","가구","944","","","","",
"신당동","3인가구","가구원수별 가구수 (동별) (2015년 이후)","가구","481","","","","",
"신당동","4인가구","가구원수별 가구수 (동별) (2015년 이후)","가구","285","","","","",
"신당동","5인가구","가구원수별 가구수 (동별) (2015년 이후)","가구","68","","","","",
"신당동","6인가구","가구원수별 가구수 (동별) (2015년 이후)","가구","24","","","","",
"신당동","7인이상가구","가구원수별 가구수 (동별) (2015년 이후)","가구","X","","","","",
"다산동","일반가구","가구원수별 가구수 (동별) (2015년 이후)","가구","6264","","","","",
"다산동","1인가구","가구원수별 가구수 (동별) (2015년 이후)","가구","2466","","","","",
"다산동","2인가구","가구원수별 가구수 (동별) (2015년 이후)","가구","1761","","","","",
"다산동","3인가구","가구원수별 가구수 (동별) (2015년 이후)","가구","1054","","","","",
"다산동","4인가구","가구원수별 가구수 (동별) (2015년 이후)","가구","745","","","","",
"다산동","5인가구","가구원수별 가구수 (동별) (2015년 이후)","가구","172","","","","",
"다산동","6인가구","가구원수별 가구수 (동별) (2015년 이후)","가구","52","","","","",
"다산동","7인이상가구","가구원수별 가구수 (동별) (2015년 이후)","가구","14","","","","",
"약수동","일반가구","가구원수별 가구수 (동별) (2015년 이후)","가구","6925","","","","",
"약수동","1인가구","가구원수별 가구수 (동별) (2015년 이후)","가구","2054","","","","",
"약수동","2인가구","가구원수별 가구수 (동별) (2015년 이후)","가구","2209","","","","",
"약수동","3인가구","가구원수별 가구수 (동별) (2015년 이후)","가구","1504","","","","",
"약수동","4인가구","가구원수별 가구수 (동별) (2015년 이후)","가구","918","","","","",
"약수동","5인가구","가구원수별 가구수 (동별) (2015년 이후)","가구","189","","","","",
"약수동","6인가구","가구원수별 가구수 (동별) (2015년 이후)","가구","43","","","","",
"약수동","7인이상가구","가구원수별 가구수 (동별) (2015년 이후)","가구","8","","","","",
"청구동","일반가구","가구원수별 가구수 (동별) (2015년 이후)","가구","5764","","","","",
"청구동","1인가구","가구원수별 가구수 (동별) (2015년 이후)","가구","1924","","","","",
"청구동","2인가구","가구원수별 가구수 (동별) (2015년 이후)","가구","1631","","","","",
"청구동","3인가구","가구원수별 가구수 (동별) (2015년 이후)","가구","1173","","","","",
"청구동","4인가구","가구원수별 가구수 (동별) (2015년 이후)","가구","797","","","","",
"청구동","5인가구","가구원수별 가구수 (동별) (2015년 이후)","가구","194","","","","",
"청구동","6인가구","가구원수별 가구수 (동별) (2015년 이후)","가구","36","","","","",
"청구동","7인이상가구","가구원수별 가구수 (동별) (2015년 이후)","가구","9","","","","",
"신당5동","일반가구","가구원수별 가구수 (동별) (2015년 이후)","가구","4949","","","","",
"신당5동","1인가구","가구원수별 가구수 (동별) (2015년 이후)","가구","2182","","","","",
"신당5동","2인가구","가구원수별 가구수 (동별) (2015년 이후)","가구","1313","","","","",
"신당5동","3인가구","가구원수별 가구수 (동별) (2015년 이후)","가구","773","","","","",
"신당5동","4인가구","가구원수별 가구수 (동별) (2015년 이후)","가구","522","","","","",
"신당5동","5인가구","가구원수별 가구수 (동별) (2015년 이후)","가구","126","","","","",
"신당5동","6인가구","가구원수별 가구수 (동별) (2015년 이후)","가구","25","","","","",
"신당5동","7인이상가구","가구원수별 가구수 (동별) (2015년 이후)","가구","8","","","","",
"동화동","일반가구","가구원수별 가구수 (동별) (2015년 이후)","가구","3771","","","","",
"동화동","1인가구","가구원수별 가구수 (동별) (2015년 이후)","가구","795","","","","",
"동화동","2인가구","가구원수별 가구수 (동별) (2015년 이후)","가구","1046","","","","",
"동화동","3인가구","가구원수별 가구수 (동별) (2015년 이후)","가구","914","","","","",
"동화동","4인가구","가구원수별 가구수 (동별) (2015년 이후)","가구","756","","","","",
"동화동","5인가구","가구원수별 가구수 (동별) (2015년 이후)","가구","191","","","","",
"동화동","6인가구","가구원수별 가구수 (동별) (2015년 이후)","가구","56","","","","",
"동화동","7인이상가구","가구원수별 가구수 (동별) (2015년 이후)","가구","13","","","","",
"황학동","일반가구","가구원수별 가구수 (동별) (2015년 이후)","가구","6213","","","","",
"황학동","1인가구","가구원수별 가구수 (동별) (2015년 이후)","가구","2963","","","","",
"황학동","2인가구","가구원수별 가구수 (동별) (2015년 이후)","가구","1649","","","","",
"황학동","3인가구","가구원수별 가구수 (동별) (2015년 이후)","가구","908","","","","",
"황학동","4인가구","가구원수별 가구수 (동별) (2015년 이후)","가구","527","","","","",
"황학동","5인가구","가구원수별 가구수 (동별) (2015년 이후)","가구","126","","","","",
"황학동","6인가구","가구원수별 가구수 (동별) (2015년 이후)","가구","35","","","","",
"황학동","7인이상가구","가구원수별 가구수 (동별) (2015년 이후)","가구","5","","","","",
"중림동","일반가구","가구원수별 가구수 (동별) (2015년 이후)","가구","4976","","","","",
"중림동","1인가구","가구원수별 가구수 (동별) (2015년 이후)","가구","1627","","","","",
"중림동","2인가구","가구원수별 가구수 (동별) (2015년 이후)","가구","1390","","","","",
"중림동","3인가구","가구원수별 가구수 (동별) (2015년 이후)","가구","1065","","","","",
"중림동","4인가구","가구원수별 가구수 (동별) (2015년 이후)","가구","719","","","","",
"중림동","5인가구","가구원수별 가구수 (동별) (2015년 이후)","가구","136","","","","",
"중림동","6인가구","가구원수별 가구수 (동별) (2015년 이후)","가구","29","","","","",
"중림동","7인이상가구","가구원수별 가구수 (동별) (2015년 이후)","가구","10","","","","",
"용산구","일반가구","가구원수별 가구수 (동별) (2015년 이후)","가구","95714","96989","98483","98322","93491",
"용산구","1인가구","가구원수별 가구수 (동별) (2015년 이후)","가구","36881","39270","41437","42482","40445",
"용산구","2인가구","가구원수별 가구수 (동별) (2015년 이후)","가구","25941","26405","26780","26615","25430",
"용산구","3인가구","가구원수별 가구수 (동별) (2015년 이후)","가구","17655","17161","16985","16579","15819",
"용산구","4인가구","가구원수별 가구수 (동별) (2015년 이후)","가구","11733","10962","10360","9872","9224",
"용산구","5인가구","가구원수별 가구수 (동별) (2015년 이후)","가구","2812","2593","2355","2263","2081",
"용산구","6인가구","가구원수별 가구수 (동별) (2015년 이후)","가구","565","490","471","403","404",
"용산구","7인이상가구","가구원수별 가구수 (동별) (2015년 이후)","가구","127","108","95","108","88",
"용산구","평균 가구원수","가구원수별 가구수 (동별) (2015년 이후)","명","2.16","2.1","2.06","2.03","2.02",
"후암동","일반가구","가구원수별 가구수 (동별) (2015년 이후)","가구","7283","","","","",
"후암동","1인가구","가구원수별 가구수 (동별) (2015년 이후)","가구","2800","","","","",
"후암동","2인가구","가구원수별 가구수 (동별) (2015년 이후)","가구","1941","","","","",
"후암동","3인가구","가구원수별 가구수 (동별) (2015년 이후)","가구","1344","","","","",
"후암동","4인가구","가구원수별 가구수 (동별) (2015년 이후)","가구","895","","","","",
"후암동","5인가구","가구원수별 가구수 (동별) (2015년 이후)","가구","239","","","","",
"후암동","6인가구","가구원수별 가구수 (동별) (2015년 이후)","가구","48","","","","",
"후암동","7인이상가구","가구원수별 가구수 (동별) (2015년 이후)","가구","16","","","","",
"용산2가동","일반가구","가구원수별 가구수 (동별) (2015년 이후)","가구","4502","","","","",
"용산2가동","1인가구","가구원수별 가구수 (동별) (2015년 이후)","가구","1911","","","","",
"용산2가동","2인가구","가구원수별 가구수 (동별) (2015년 이후)","가구","1270","","","","",
"용산2가동","3인가구","가구원수별 가구수 (동별) (2015년 이후)","가구","769","","","","",
